,graph_id,node_id,label
0,ES6121054,0,324
1,ES6121054,1,211
2,ES6121054,2,211
3,ES6121054,3,221
4,ES6121054,4,221
5,ES6121054,5,242
6,ES6121054,6,311
7,ES6121054,7,231
8,ES6121054,8,221
9,ES6121054,9,121
10,ES6121054,10,142
11,ES6121054,11,323
12,ES6121054,12,212
13,ES6121054,13,212
14,ES6121054,14,221
15,ES6121054,15,242
16,ES6121054,16,221
17,ES6121054,17,223
18,ES6121054,18,242
19,ES6121054,19,222
20,ES6121054,20,112
21,ES6121054,21,223
22,ES6121054,22,111
23,ES6121054,23,212
24,ES6121054,24,121
25,ES6121054,25,212
26,ES6121054,26,212
27,ES6121054,27,211
28,ES6121054,28,212
29,ES6121054,29,231
30,ES6121054,30,211
31,ES6121054,31,244
32,ES6121054,32,312
33,ES6121054,33,231
34,ES6121054,34,311
35,ES6121054,35,323
36,ES6121054,36,324
37,ES6121054,37,324
38,ES6121054,38,324
39,ES6121054,39,511
40,ES6121054,40,212
41,ES6121054,41,221
42,ES6121054,42,244
43,ES6121054,43,512
44,ES6121054,44,242
45,ES6121061,0,324
46,ES6121061,1,211
47,ES6121061,2,311
48,ES6121061,3,211
49,ES6121061,4,211
50,ES6121061,5,131
51,ES6121061,6,211
52,ES6121061,7,212
53,ES6121061,8,212
54,ES6121061,9,212
55,ES6121061,10,211
56,ES6121061,11,221
57,ES6121061,12,221
58,ES6121061,13,222
59,ES6121061,14,221
60,ES6121061,15,221
61,ES6121061,16,221
62,ES6121061,17,221
63,ES6121061,18,221
64,ES6121061,19,212
65,ES6121061,20,131
66,ES6121061,21,212
67,ES6121061,22,121
68,ES6121061,23,111
69,ES6121061,24,221
70,ES6121061,25,223
71,ES6121061,26,223
72,ES6121061,27,223
73,ES6121061,28,231
74,ES6121061,29,311
75,ES6121061,30,311
76,ES6121061,31,311
77,ES6121061,32,312
78,ES6121061,33,313
79,ES6121061,34,313
80,ES6121061,35,313
81,ES6121061,36,312
82,ES6121061,37,324
83,ES6121061,38,324
84,ES6121061,39,333
85,ES6121061,40,333
86,ES6121061,41,211
87,ES6121061,42,221
88,ES6121061,43,211
89,ES6121061,44,211
90,ES6121061,45,211
91,ES6121061,46,324
92,ES6121061,47,242
93,ES6121061,48,222
94,ES6121061,49,324
95,ES6121061,50,212
96,ES6121061,51,242
97,ES6121061,52,221
98,ES6121061,53,311
99,ES6121061,54,221
100,ES6121061,55,242
101,ES6121061,56,313
102,ES6121061,57,312
103,ES6121061,58,312
104,ES6121061,59,244
105,ES6121061,60,312
106,ES6121061,61,312
107,ES6121061,62,313
108,ES6121061,63,321
109,ES6121061,64,323
110,ES6121061,65,333
111,ES6121061,66,333
112,ES6121061,67,333
113,ES6121061,68,242
114,ES6121061,69,212
115,ES6121061,70,313
116,ES6121061,71,212
117,ES6121061,72,221
118,ES6121061,73,211
119,ES6121061,74,221
120,ES6121061,75,211
121,ES6121065,0,324
122,ES6121065,1,324
123,ES6121065,2,311
124,ES6121065,3,323
125,ES6121065,4,324
126,ES6121065,5,324
127,ES6121065,6,311
128,ES6121065,7,323
129,ES6121065,8,311
130,ES6121065,9,333
131,ES6121065,10,324
132,ES6121065,11,311
133,ES6121065,12,243
134,ES6121065,13,333
135,ES6121065,14,223
136,ES6121065,15,311
137,ES6121065,16,244
138,ES6121065,17,223
139,ES6121065,18,222
140,ES6121065,19,511
141,ES6121065,20,244
142,ES6121065,21,244
143,ES6121065,22,323
144,ES6121065,23,323
145,ES6121065,24,323
146,ES6121065,25,231
147,ES6121065,26,222
148,ES6121065,27,333
149,ES6121065,28,333
150,ES6121065,29,324
151,ES6121065,30,231
152,ES6104090,0,323
153,ES6104090,1,323
154,ES6104090,2,333
155,ES6104090,3,333
156,ES6104090,4,321
157,ES6104090,5,222
158,ES6104090,6,323
159,ES6104090,7,321
160,ES6104090,8,321
161,ES6104090,9,323
162,ES6104090,10,223
163,ES6104090,11,321
164,ES6104090,12,222
165,ES6104090,13,243
166,ES6104090,14,333
167,ES6104090,15,333
168,ES6104090,16,222
169,ES6104090,17,231
170,ES6104090,18,323
171,ES6104090,19,321
172,ES6104090,20,323
173,ES6104090,21,321
174,ES6104090,22,222
175,ES6104090,23,321
176,ES6104090,24,242
177,ES6104090,25,321
178,ES6104090,26,321
179,ES6104090,27,242
180,ES6104090,28,223
181,ES6104090,29,323
182,ES6104090,30,323
183,ES6104090,31,242
184,ES6104090,32,211
185,ES6104090,33,323
186,ES6104090,34,324
187,ES6104090,35,333
188,ES6104090,36,321
189,ES6104090,37,321
190,ES6104090,38,212
191,ES6104090,39,231
192,ES6104090,40,323
193,ES6104090,41,242
194,ES6104090,42,223
195,ES6104090,43,223
196,ES6104090,44,231
197,ES6104090,45,321
198,ES6104090,46,243
199,ES6104090,47,243
200,ES6104090,48,321
201,ES6104090,49,223
202,ES6104090,50,323
203,ES6104090,51,321
204,ES6104090,52,242
205,ES6104090,53,323
206,ES6104090,54,211
207,ES6104090,55,323
208,ES6104090,56,323
209,ES6104090,57,243
210,ES6104090,58,323
211,ES6104090,59,323
212,ES6104090,60,323
213,ES6104090,61,312
214,ES6104090,62,242
215,ES6104090,63,321
216,ES6104090,64,223
217,ES6104090,65,242
218,ES6104090,66,313
219,ES6104090,67,222
220,ES6104090,68,311
221,ES6104090,69,311
222,ES6104090,70,311
223,ES6104090,71,333
224,ES6104090,72,321
225,ES6104090,73,243
226,ES6104090,74,312
227,ES6104090,75,244
228,ES6104090,76,311
229,ES6104090,77,223
230,ES6104090,78,311
231,ES6104090,79,242
232,ES6104090,80,222
233,ES6104090,81,312
234,ES6104090,82,242
235,ES6104090,83,243
236,ES6104090,84,321
237,ES6104090,85,321
238,ES6104090,86,321
239,ES6104090,87,321
240,ES6104090,88,321
241,ES6104090,89,323
242,ES6104090,90,323
243,ES6104090,91,324
244,ES6104090,92,324
245,ES6104090,93,333
246,ES6104092,0,312
247,ES6104092,1,242
248,ES6104092,2,243
249,ES6104092,3,321
250,ES6104092,4,243
251,ES6104092,5,243
252,ES6104092,6,222
253,ES6104092,7,312
254,ES6104092,8,243
255,ES6104092,9,222
256,ES6104092,10,243
257,ES6104092,11,242
258,ES6104092,12,111
259,ES6104092,13,312
260,ES6104092,14,312
261,ES6104092,15,121
