,graph_id,num_nodes,label
0,FR11911223,22,0
1,FR24362237,31,0
2,FR24362241,36,0
3,FR24362247,7,0
4,FR24363017,41,0
5,FR24281422,10,0
6,FR24363146,64,0
7,FR24363180,50,0
8,FR24363189,39,0
9,FR24364034,49,0
10,FR24364037,7,0
11,FR24181004,36,0
12,FR24364140,18,0
13,FR24364162,26,0
14,FR24364169,33,0
15,FR24181033,67,0
16,FR24181035,14,0
17,FR24181066,10,0
18,FR24282398,24,0
19,FR24282424,11,0
20,FR24364229,40,0
21,FR24371002,41,0
22,FR24371021,33,0
23,FR24181110,32,0
24,FR24283120,14,0
25,FR24283130,13,0
26,FR24181180,18,0
27,FR24283149,25,0
28,FR24283226,22,0
29,FR24182013,23,0
30,FR24283373,29,0
31,FR24283386,14,0
32,FR24283393,18,0
33,FR24182052,28,0
34,FR24182057,45,0
35,FR24182065,28,0
36,FR24182087,27,0
37,FR24182089,43,0
38,FR24182108,39,0
39,FR24361010,49,0
40,FR24361016,34,0
41,FR24361018,58,0
42,FR24361035,44,0
43,FR24361036,44,0
44,FR24361053,64,0
45,FR24361066,34,0
46,FR24182142,28,0
47,FR24182164,19,0
48,FR24361094,42,0
49,FR24361123,72,0
50,FR24361124,88,0
51,FR24361144,54,0
52,FR24361148,29,0
53,FR24361150,48,0
54,FR24361153,35,0
55,FR24361165,36,0
56,FR24182216,34,0
57,FR24182242,28,0
58,FR24361168,38,0
59,FR24361173,78,0
60,FR24361176,45,0
61,FR24361204,67,0
62,FR24362005,24,0
63,FR24182278,57,0
64,FR24183011,67,0
65,FR24183015,47,0
66,FR24183030,42,0
67,FR24183067,67,0
68,FR24183088,54,0
69,FR11782601,14,0
70,FR24362009,39,0
71,FR24362026,10,0
72,FR24362031,56,0
73,FR24362045,33,0
74,FR24183140,27,0
75,FR24183147,48,0
76,FR24183165,60,0
77,FR24183170,41,0
78,FR11783551,27,0
79,FR24362072,31,0
80,FR24362086,30,0
81,FR24362103,39,0
82,FR24362139,47,0
83,FR24362142,33,0
84,FR24362149,36,0
85,FR24183227,64,0
86,FR24183290,41,0
87,FR24362159,26,0
88,FR24362219,35,0
89,FR24362228,30,0
90,FR24362231,52,0
91,FR11771238,22,0
92,FR27711223,27,0
93,FR27584218,27,0
94,FR27584227,24,0
95,FR27711390,32,0
96,FR27393297,29,0
97,FR27393367,21,0
98,FR27701489,63,0
99,FR27393510,41,0
100,FR27581003,43,0
101,FR27581010,47,0
102,FR27581017,28,0
103,FR27701245,41,0
104,FR27581037,44,0
105,FR27581046,25,0
106,FR27581106,39,0
107,FR27581140,24,0
108,FR27581142,21,0
109,FR27581145,45,0
110,FR27581149,29,0
111,FR27581180,52,0
112,FR27581182,18,0
113,FR27581185,56,0
114,FR27581205,57,0
115,FR27581210,55,0
116,FR27391434,45,0
117,FR27581309,35,0
118,FR27582047,31,0
119,FR27582109,33,0
120,FR27582304,27,0
121,FR27583021,23,0
122,FR27583055,26,0
123,FR27583057,25,0
124,FR27583087,29,0
125,FR27583092,27,0
126,FR27583095,48,0
127,FR27583104,29,0
128,FR27253121,16,0
129,FR27392177,43,0
130,FR27583146,25,0
131,FR27583196,27,0
132,FR27253222,40,0
133,FR27583260,33,0
134,FR27583264,23,0
135,FR27253334,23,0
136,FR27584064,37,0
137,FR27253424,34,0
138,FR27253462,42,0
139,FR27392331,28,0
140,FR27584086,48,0
141,FR27584102,32,0
142,FR27391013,55,0
143,FR27711009,41,0
144,FR27711014,45,0
145,FR27711040,27,0
146,FR24411220,51,0
147,FR24411221,7,0
148,FR24452272,33,0
149,FR24411273,19,0
150,FR24452300,35,0
151,FR24452309,41,0
152,FR24452315,40,0
153,FR24452324,29,0
154,FR24452336,45,0
155,FR24452340,68,0
156,FR27212579,25,0
157,FR27212599,33,0
158,FR24412073,16,0
159,FR24452346,49,0
160,FR24453095,30,0
161,FR24371082,44,0
162,FR24412235,23,0
163,FR24412238,20,0
164,FR24453240,5,0
165,FR24371123,64,0
166,FR24371170,21,0
167,FR24413074,34,0
168,FR24371216,45,0
169,FR24371226,27,0
170,FR24371231,44,0
171,FR24371232,48,0
172,FR24371249,42,0
173,FR24413084,37,0
174,FR24413125,60,0
175,FR24413140,51,0
176,FR24413157,72,0
177,FR24413159,48,0
178,FR27213336,16,0
179,FR24372067,45,0
180,FR24413180,20,0
181,FR24413185,57,0
182,FR24413194,50,0
183,FR24413241,42,0
184,FR27213425,40,0
185,FR24372211,34,0
186,FR24372250,31,0
187,FR24413251,49,0
188,FR24413267,19,0
189,FR24413268,47,0
190,FR24413271,53,0
191,FR24413297,30,0
192,FR24451004,34,0
193,FR24451016,29,0
194,FR24451029,49,0
195,FR24373003,32,0
196,FR24373026,22,0
197,FR24373028,62,0
198,FR24451053,43,0
199,FR24451083,26,0
200,FR24451087,33,0
201,FR27213525,63,0
202,FR24373046,51,0
203,FR24373061,48,0
204,FR24451115,31,0
205,FR24451129,26,0
206,FR24451155,64,0
207,FR24373111,40,0
208,FR24373113,32,0
209,FR24373141,27,0
210,FR24451187,45,0
211,FR24451213,53,0
212,FR24451245,56,0
213,FR24373173,45,0
214,FR24373175,28,0
215,FR24373177,50,0
216,FR24451278,37,0
217,FR24451292,32,0
218,FR27212038,38,0
219,FR27251056,55,0
220,FR24373269,38,0
221,FR24373282,40,0
222,FR24452006,48,0
223,FR24411034,42,0
224,FR24411055,33,0
225,FR24411085,33,0
226,FR24411086,52,0
227,FR24452063,70,0
228,FR24452093,10,0
229,FR24452122,52,0
230,FR24452134,5,0
231,FR27212231,34,0
232,FR24411142,22,0
233,FR24411171,7,0
234,FR24452171,51,0
235,FR24452175,38,0
236,FR24452179,38,0
237,FR24452182,33,0
238,FR24452193,48,0
239,FR24452200,35,0
240,FR28763727,25,0
241,FR32021053,41,0
242,FR28611324,27,0
243,FR28761263,40,0
244,FR28611464,27,0
245,FR32021458,29,0
246,FR28612091,31,0
247,FR28612145,39,0
248,FR28612232,24,0
249,FR28502400,33,0
250,FR28612375,31,0
251,FR28272679,33,0
252,FR28762351,36,0
253,FR28613050,33,0
254,FR28613061,29,0
255,FR28613079,33,0
256,FR28613116,31,0
257,FR28503236,50,0
258,FR28503273,34,0
259,FR28613345,34,0
260,FR28501200,23,0
