,graph_id,num_nodes,label
0,AT40412,35,0
1,AT40511,20,0
2,AT61759,32,0
3,AT60617,15,0
4,AT61443,21,0
5,AT20901,69,0
6,AT10827,14,0
7,AT62368,24,0
8,AT30514,36,0
9,AT30620,18,0
10,AT62326,25,0
11,AT60341,19,0
12,AT70940,5,0
13,AT70837,20,0
14,AT50610,32,0
15,AT40610,23,0
16,AT70309,12,0
17,AT31609,18,0
18,AT32501,55,0
19,AT70305,6,0
20,AT50204,35,0
21,AT40919,21,0
22,AT40720,45,0
23,AT80224,15,0
24,AT70704,21,0
25,AT50310,26,0
26,AT62014,27,0
27,AT30925,46,0
28,AT80121,17,0
29,AT70201,21,0
30,AT31336,35,0
31,AT70923,9,0
32,AT41402,37,0
33,AT32011,44,0
34,AT62242,16,0
35,AT62026,25,0
36,AT30730,21,0
37,AT31814,38,0
38,AT70510,14,0
39,AT80410,21,0
40,AT31603,22,0
41,AT10913,11,0
42,AT50612,51,0
43,AT40801,14,0
44,AT80111,25,0
45,AT40811,14,0
46,AT70348,95,0
47,AT40627,36,0
48,AT10931,6,0
49,AT31522,16,0
50,AT31919,20,0
51,AT31703,21,0
52,AT41802,14,0
53,AT61016,20,0
54,AT80115,13,0
55,AT41307,16,0
56,AT41822,9,0
57,AT32142,22,0
58,AT31205,17,0
59,AT62202,23,0
60,AT31630,20,0
61,AT80239,14,0
62,AT20505,62,0
63,AT61215,69,0
64,AT31025,9,0
65,AT41022,27,0
66,AT31333,24,0
67,AT31542,20,0
68,AT41317,29,0
69,AT61729,14,0
70,AT62382,41,0
71,AT41729,11,0
72,AT70365,14,0
73,AT70716,18,0
74,AT70936,157,0
75,AT30401,49,0
76,AT70332,8,0
77,AT31946,15,0
78,AT70720,20,0
79,AT61043,16,0
80,AT61247,27,0
81,AT70354,12,0
82,AT41720,15,0
83,AT41407,15,0
84,AT80225,11,0
85,AT41607,12,0
86,AT70207,9,0
87,AT20603,36,0
88,AT40826,10,0
89,AT30812,10,0
90,AT31343,22,0
91,AT60347,37,0
92,AT60324,23,0
93,AT31503,35,0
94,AT31033,17,0
95,AT20320,27,0
96,AT61027,18,0
97,AT61013,26,0
98,AT20719,38,0
99,AT30915,16,0
100,AT30814,17,0
101,AT50505,44,0
102,AT31119,14,0
103,AT70619,11,0
104,AT50208,11,0
105,AT31102,17,0
106,AT10511,15,0
107,AT70921,13,0
108,AT30631,17,0
109,AT41104,23,0
110,AT20713,26,0
111,AT80116,81,0
112,AT70312,13,0
113,AT30805,17,0
114,AT50621,20,0
115,AT50211,21,0
116,AT31829,59,0
117,AT80422,13,0
118,AT32322,37,0
119,AT40713,22,0
120,AT50501,15,0
121,AT41222,18,0
122,AT20810,22,0
123,AT40603,35,0
124,AT62387,30,0
125,AT60326,21,0
126,AT61612,24,0
127,AT60611,10,0
128,AT80227,26,0
129,AT40428,25,0
130,AT31019,30,0
131,AT10302,13,0
132,AT70601,6,0
133,AT60305,16,0
134,AT32321,29,0
135,AT60323,11,0
136,AT41703,19,0
137,AT41208,11,0
138,AT31113,8,0
139,AT41123,20,0
140,AT31508,15,0
141,AT61110,15,0
142,AT30729,15,0
143,AT31804,8,0
144,AT62271,34,0
145,AT41304,36,0
146,AT31954,15,0
147,AT70317,23,0
148,AT70337,13,0
149,AT41116,26,0
150,AT40818,10,0
151,AT41230,13,0
152,AT32517,20,0
153,AT41503,13,0
154,AT50210,23,0
155,AT50616,27,0
156,AT61716,28,0
157,AT80401,9,0
158,AT31915,9,0
159,AT10910,13,0
160,AT20806,24,0
161,AT20424,9,0
162,AT70419,19,0
163,AT30503,39,0
164,AT31350,28,0
165,AT62138,19,0
166,AT10803,15,0
167,AT50401,36,0
168,AT31821,22,0
169,AT50202,25,0
170,AT20620,44,0
171,AT31922,10,0
172,AT50331,11,0
173,AT61630,45,0
174,AT61626,30,0
175,AT40914,87,0
176,AT40824,39,0
177,AT70329,8,0
178,AT31717,14,0
179,AT61056,38,0
180,AT30726,14,0
181,AT41338,45,0
182,AT20432,24,0
183,AT20723,53,0
184,AT10423,3,0
185,AT30817,17,0
186,AT62040,31,0
187,AT31839,56,0
188,AT30813,17,0
189,AT41108,37,0
190,AT10419,13,0
191,AT40907,27,0
192,AT20727,16,0
193,AT31917,29,0
194,AT20609,38,0
195,AT50405,37,0
196,AT41818,10,0
197,AT20630,52,0
198,AT31517,12,0
199,AT40702,57,0
200,AT80118,36,0
201,AT70414,18,0
202,AT61727,13,0
203,AT30529,26,0
204,AT10418,7,0
205,AT31642,11,0
206,AT20721,16,0
207,AT41701,16,0
208,AT30712,5,0
209,AT20307,95,0
210,AT20506,22,0
211,AT50413,44,0
212,AT10426,5,0
213,AT10930,9,0
214,AT31706,18,0
215,AT80126,11,0
216,AT40420,21,0
217,AT10604,9,0
218,AT40719,28,0
219,AT40512,34,0
220,AT62267,36,0
221,AT31617,18,0
222,AT10717,9,0
223,AT31801,12,0
224,AT50101,62,0
225,AT40617,27,0
226,AT70807,34,0
227,AT70221,19,0
228,AT30602,52,0
229,AT62125,34,0
230,AT70615,39,0
231,AT10420,13,0
232,AT80106,25,0
233,AT62375,31,0
234,AT41731,39,0
235,AT50503,36,0
236,AT62209,14,0
237,AT10309,5,0
238,AT40604,21,0
239,AT41427,9,0
240,AT80209,15,0
241,AT62233,35,0
242,AT80102,13,0
243,AT41114,23,0
244,AT80226,18,0
245,AT41627,28,0
246,AT30836,12,0
247,AT70319,12,0
248,AT31355,50,0
249,AT40421,13,0
250,AT70341,11,0
251,AT41305,25,0
252,AT10701,10,0
253,AT41749,24,0
254,AT41820,13,0
255,AT50403,75,0
256,AT70522,19,0
257,AT31016,39,0
258,AT80420,4,0
259,AT70618,7,0
260,AT31304,14,0
261,AT30810,7,0
262,AT62381,41,0
263,AT80213,11,0
264,AT31907,9,0
265,AT31213,10,0
266,AT70922,13,0
267,AT40913,17,0
268,AT10301,12,0
269,AT62219,16,0
270,AT40620,34,0
271,AT32110,28,0
272,AT50506,51,0
273,AT31927,19,0
274,AT10101,20,0
275,AT41216,11,0
276,AT50419,30,0
277,AT32010,26,0
278,AT30636,16,0
279,AT70608,49,0
280,AT31015,17,0
281,AT70834,20,0
282,AT41112,20,0
283,AT50627,43,0
284,AT10416,21,0
285,AT41404,32,0
286,AT70223,38,0
287,AT30824,9,0
288,AT61442,30,0
289,AT10404,16,0
290,AT31408,38,0
291,AT41306,19,0
292,AT32515,39,0
293,AT31608,14,0
294,AT41623,19,0
295,AT40443,31,0
296,AT40418,32,0
297,AT40503,9,0
298,AT32209,20,0
299,AT31505,21,0
300,AT21010,12,0
301,AT41602,45,0
302,AT50509,54,0
303,AT60660,27,0
304,AT70357,33,0
305,AT62206,9,0
306,AT30507,31,0
307,AT70728,16,0
308,AT31551,38,0
309,AT40612,57,0
310,AT20726,34,0
311,AT10413,17,0
312,AT10812,26,0
313,AT30721,9,0
314,AT62269,29,0
315,AT31229,8,0
316,AT60654,24,0
317,AT31523,17,0
318,AT31519,21,0
319,AT80117,26,0
320,AT61750,30,0
321,AT20639,36,0
322,AT31715,8,0
323,AT31330,25,0
324,AT10412,19,0
325,AT31947,47,0
326,AT41015,12,0
327,AT80407,16,0
328,AT61260,27,0
329,AT10403,23,0
330,AT10307,12,0
331,AT10427,20,0
332,AT50312,15,0
333,AT31650,14,0
334,AT41331,26,0
335,AT62252,20,0
336,AT10304,8,0
337,AT10713,24,0
338,AT10727,7,0
339,AT40419,38,0
340,AT30844,7,0
341,AT70614,20,0
342,AT20619,103,0
