,graph_id,num_nodes,label
0,FR76322417,7,True
1,FR75792018,19,True
2,FR24371129,18,True
3,FR84153112,12,True
4,FR84153259,27,True
5,FR84742189,22,True
6,FR75193225,15,True
7,FR84381322,21,True
8,FR76093065,15,True
9,FR53563254,33,True
10,FR93132094,13,True
11,FR53294153,38,True
12,FR84635102,35,True
13,FR76321268,6,True
14,FR84071203,31,True
15,FR84262138,29,True
16,FR52533271,23,True
17,FR27211087,22,True
18,FR44511117,9,True
19,FR75163253,19,True
20,FR75232235,37,True
21,FR75232193,47,True
22,FR52852025,35,True
23,FR75402185,20,True
24,FR84431033,41,True
25,FR53353178,20,True
26,FR52531104,17,True
27,FR84071330,23,True
28,FR32604430,9,True
29,FR28762657,20,True
30,FR53353201,25,True
31,FR75863083,18,True
32,FR84033017,32,True
33,FR27584007,22,True
34,FR24181162,20,True
35,FR24361106,30,True
36,FR84033044,22,True
37,FR52531009,24,True
38,FR84261185,14,True
39,FR942B3218,13,True
40,FR52491222,41,True
41,FR44675348,39,True
42,FR93044242,28,True
43,FR27392290,28,True
44,FR24451002,22,True
45,FR24412072,8,True
46,FR28501109,22,True
47,FR76812311,15,True
48,FR32021220,14,True
49,FR24363030,19,True
50,FR44103430,4,True
51,FR44082239,8,True
52,FR53351002,18,True
53,FR24412243,4,True
54,FR84635151,33,True
55,FR84263179,23,True
56,FR75401272,28,True
57,FR27892042,19,True
58,FR942B2281,19,True
59,FR76822119,15,True
60,FR75332273,29,True
61,FR76112183,25,True
62,FR75171099,23,True
63,FR27583269,11,True
64,FR27211295,22,True
65,FR84032011,21,True
66,FR93062133,22,True
67,FR942B2224,14,True
68,FR84072319,38,True
69,FR84031313,27,True
70,FR27583028,22,True
71,FR76123257,17,True
72,FR27583267,25,True
73,FR44512243,7,True
74,FR24412279,23,True
75,FR75231063,38,True
76,FR8469D102,33,True
77,FR93833120,20,True
78,FR75863166,21,True
79,FR84073333,25,True
80,FR24372270,36,True
81,FR27213594,14,True
82,FR76122264,27,True
83,FR75792059,32,True
84,FR84743096,41,True
85,FR75872096,40,True
86,FR24451145,22,True
87,FR84432071,32,True
88,FR84634171,37,True
89,FR75171236,23,True
90,FR24361058,25,True
91,FR75872205,36,True
92,FR76463297,29,True
93,FR24413016,37,True
94,FR44551295,10,True
95,FR75161283,28,True
96,FR942B2261,21,True
97,FR53294215,42,True
98,FR84071142,36,True
99,FR44882291,23,True
100,FR76811170,37,True
101,FR76321123,5,True
102,FR44883032,21,True
