,src,dest,overlap,distance,total_border,greatest_border,nb_border
0,458367,465724,0,0.0,202.41357079944075,202.41357079944075,1
1,458367,597183,0,0.0,1851.487084396713,1851.487084396713,1
2,458367,597195,0,0.0,571.2388204884513,571.2388204884513,1
3,458367,597383,0,0.0,441.4607431008398,441.4607431008398,1
0,464474,466354,0,0.0,6967.211401986482,5415.28841288752,2
1,464474,502155,0,0.0,6857.059223981847,6857.059223981847,1
2,464474,597247,0,0.0,3717.9117408732072,3717.9117408732072,1
0,464486,473652,0,0.0,3896.824760120947,3896.824760120947,1
1,464486,473668,0,0.0,3946.1925471212617,3946.1925471212617,1
2,464486,502091,0,0.0,820.7675882600978,820.7675882600978,1
3,464486,511567,0,0.0,72.73615159587982,72.73615159587982,1
0,464494,465667,0,0.0,528.0827682025102,528.0827682025102,1
1,464494,473652,0,0.0,1691.2305701495047,1691.2305701495047,1
2,464494,502195,0,0.0,2335.82214289029,2335.82214289029,1
0,464503,473668,0,0.0,2731.6667805191464,2731.6667805191464,1
0,464507,473652,0,0.0,2223.7747884925734,2223.7747884925734,1
1,464507,502195,0,0.0,1472.9357945767374,1472.9357945767374,1
0,464526,473652,0,0.0,1384.2228359476273,1384.2228359476273,1
1,464526,473668,0,0.0,1965.6979700506847,1965.6979700506847,1
2,464526,502195,0,0.0,681.8796574977107,681.8796574977107,1
3,464526,511567,0,0.0,285.5216433478066,285.5216433478066,1
0,464565,465683,0,0.0,207.28833393171016,207.28833393171016,1
1,464565,465686,0,0.0,495.1100753196894,495.1100753196894,1
2,464565,466356,0,0.0,663.2651476446372,663.2651476446372,1
3,464565,466361,0,0.0,133.56884217549407,133.56884217549407,1
4,464565,466742,0,0.0,1166.2477730854062,1166.2477730854062,1
5,464565,473669,0,0.0,3728.740978709296,3728.740978709296,1
6,464565,473682,0,0.0,327.3481356038226,327.3481356038226,1
7,464565,488044,0,0.0,3952.9670607025737,3952.9670607025737,1
8,464565,488051,0,0.0,1032.682634023058,1032.682634023058,1
0,464606,465687,0,0.0,2395.7974849348625,2395.7974849348625,1
1,464606,466362,0,0.0,2028.1987133277414,1354.8505946007285,2
2,464606,473689,0,0.0,2175.1177318067867,2175.1177318067867,1
3,464606,473696,0,0.0,563.0163414328376,563.0163414328376,1
