,OBJECTID1,OBJECTID2,Distance
0,458367.0,465724,0.0
1,458367.0,597183,0.0
2,458367.0,597195,0.0
3,458367.0,597383,0.0
0,464474.0,466354,0.0
1,464474.0,502155,0.0
2,464474.0,597247,0.0
0,464486.0,473652,0.0
1,464486.0,473668,0.0
2,464486.0,502091,0.0
3,464486.0,511567,0.0
0,464494.0,465667,0.0
1,464494.0,473652,0.0
2,464494.0,502195,0.0
0,464503.0,473668,0.0
0,464507.0,473652,0.0
1,464507.0,502195,0.0
0,464526.0,473652,0.0
1,464526.0,473668,0.0
2,464526.0,502195,0.0
3,464526.0,511567,0.0
0,464565.0,465683,0.0
1,464565.0,465686,0.0
2,464565.0,466356,0.0
3,464565.0,466361,0.0
4,464565.0,466742,0.0
5,464565.0,473669,0.0
6,464565.0,473682,0.0
7,464565.0,488044,0.0
8,464565.0,488051,0.0
0,464606.0,465687,0.0
1,464606.0,466362,0.0
2,464606.0,473689,0.0
3,464606.0,473696,0.0
4,464606.0,473713,0.0
5,464606.0,493448,0.0
6,464606.0,502358,0.0
7,464606.0,597247,0.0
0,464613.0,466754,0.0
1,464613.0,502358,0.0
0,464627.0,465694,0.0
1,464627.0,466358,0.0
2,464627.0,466748,0.0
3,464627.0,473698,0.0
4,464627.0,481777,0.0
5,464627.0,481850,0.0
6,464627.0,502305,0.0
7,464627.0,597365,0.0
0,464631.0,473756,0.0
1,464631.0,502358,0.0
0,464634.0,465703,0.0
1,464634.0,466758,0.0
2,464634.0,473742,0.0
3,464634.0,597227,0.0
0,464660.0,473696,0.0
1,464660.0,473756,0.0
2,464660.0,502358,0.0
3,464660.0,597247,0.0
0,464676.0,481850,0.0
1,464676.0,502305,0.0
2,464676.0,597227,0.0
3,464676.0,597365,0.0
0,464678.0,465715,0.0
1,464678.0,465992,0.0
2,464678.0,473762,0.0
3,464678.0,493461,0.0
4,464678.0,502329,0.0
5,464678.0,597197,0.0
0,464680.0,465721,0.0
1,464680.0,597227,0.0
0,464689.0,597365,0.0
0,464702.0,465734,0.0
1,464702.0,473762,0.0
2,464702.0,473775,0.0
3,464702.0,488123,0.0
4,464702.0,493461,0.0
0,464727.0,465736,0.0
1,464727.0,465934,0.0
0,464729.0,466772,0.0
1,464729.0,473779,0.0
2,464729.0,481904,0.0
3,464729.0,597227,0.0
4,464729.0,597365,0.0
0,464736.0,465993,0.0
1,464736.0,597227,0.0
0,464747.0,465934,0.0
1,464747.0,466770,0.0
2,464747.0,597188,0.0
3,464747.0,597383,0.0
0,464759.0,473838,0.0
1,464759.0,488144,0.0
2,464759.0,502374,0.0
3,464759.0,502395,0.0
4,464759.0,597227,0.0
0,465648.0,465927,0.0
1,465648.0,597183,0.0
0,465650.0,465927,0.0
1,465650.0,597183,0.0
0,465657.0,597183,0.0
0,465660.0,597183,0.0
0,465667.0,464494,0.0
1,465667.0,473652,0.0
2,465667.0,473669,0.0
3,465667.0,488044,0.0
4,465667.0,502113,0.0
5,465667.0,502195,0.0
6,465667.0,597183,0.0
0,465670.0,502155,0.0
1,465670.0,597182,0.0
0,465677.0,466741,0.0
1,465677.0,474518,0.0
2,465677.0,597182,0.0
3,465677.0,597247,0.0
0,465678.0,597183,0.0
0,465680.0,465930,0.0
1,465680.0,512674,0.0
2,465680.0,597183,0.0
3,465680.0,597383,0.0
0,465681.0,466360,0.0
1,465681.0,466738,0.0
2,465681.0,597182,0.0
3,465681.0,597383,0.0
0,465682.0,465929,0.0
1,465682.0,466349,0.0
2,465682.0,466353,0.0
3,465682.0,466357,0.0
4,465682.0,473668,0.0
5,465682.0,502195,0.0
6,465682.0,597183,0.0
0,465683.0,464565,0.0
1,465683.0,466742,0.0
2,465683.0,473669,0.0
3,465683.0,488059,0.0
4,465683.0,597183,0.0
0,465686.0,464565,0.0
1,465686.0,466356,0.0
2,465686.0,466361,0.0
3,465686.0,502229,0.0
0,465687.0,464606,0.0
1,465687.0,493448,0.0
2,465687.0,597247,0.0
0,465690.0,466745,0.0
1,465690.0,473699,0.0
2,465690.0,473711,0.0
3,465690.0,488077,0.0
4,465690.0,597183,0.0
0,465694.0,464627,0.0
1,465694.0,466358,0.0
2,465694.0,502305,0.0
3,465694.0,597183,0.0
0,465696.0,465934,0.0
1,465696.0,481772,0.0
2,465696.0,511584,0.0
3,465696.0,512692,0.0
4,465696.0,597182,0.0
5,465696.0,597383,0.0
0,465697.0,465992,0.0
1,465697.0,597183,0.0
0,465698.0,473732,0.0
1,465698.0,488090,0.0
2,465698.0,493449,0.0
3,465698.0,502358,0.0
4,465698.0,597182,0.0
0,465700.0,466356,0.0
1,465700.0,473682,0.0
2,465700.0,488078,0.0
3,465700.0,502229,0.0
4,465700.0,597183,0.0
0,465703.0,464634,0.0
1,465703.0,466268,0.0
2,465703.0,473742,0.0
3,465703.0,502305,0.0
4,465703.0,597183,0.0
5,465703.0,597227,0.0
0,465706.0,466366,0.0
1,465706.0,481814,0.0
2,465706.0,502261,0.0
3,465706.0,502275,0.0
4,465706.0,597227,0.0
0,465709.0,465932,0.0
1,465709.0,466757,0.0
2,465709.0,473727,0.0
3,465709.0,488092,0.0
4,465709.0,597183,0.0
0,465711.0,466368,0.0
1,465711.0,597183,0.0
0,465713.0,597182,0.0
0,465714.0,466758,0.0
1,465714.0,597227,0.0
0,465715.0,464678,0.0
1,465715.0,465931,0.0
2,465715.0,465992,0.0
3,465715.0,466757,0.0
4,465715.0,473711,0.0
5,465715.0,473727,0.0
6,465715.0,488059,0.0
7,465715.0,488092,0.0
8,465715.0,597183,0.0
9,465715.0,597197,0.0
0,465716.0,511597,0.0
1,465716.0,597183,0.0
2,465716.0,597383,0.0
