X,Y
3686415.2653172,2439933.60826211
3120844.25657434,3435517.01351049
4502377.90348854,4197347.30709593
5167704.17311086,4498925.45729197
5055232.75318183,2557364.53118775
4491711.77523598,2247889.92626784
4245233.70427079,1875264.98596472
4725963.17170456,1596610.5017769
5362908.09378943,1890996.18045725
6595811.63031319,2003054.37798639
6223356.74372117,2017861.72630879
5251330.36523114,3873466.81566057
5179630.37300308,3762818.67949724
4541313.02631625,2897366.30953779
3932313.18178029,2756111.10423382
3938931.73911481,2901248.30027569
4195968.98642012,2806146.31851102
2962701.21486512,2360544.35835531
3371502.76547394,3298455.96288588
4724750.51741647,4800106.06547576
5440330.21998506,2371945.05404812
5261146.32439236,2399511.80723425
5377051.9911125,2613154.14433781
5253001.60185587,2675179.33898677
4806895.27140919,2467645.28495741
3652562.24227204,2613117.31132121
3511299.42935231,2883746.22433142
3078812.64187355,1747040.21040452
3026332.59495802,2264915.29822265
5678197.48740829,1487468.60598991
4827605.58832071,3835003.48578248
3659436.69528288,2703510.1612535
3890647.20905835,2848548.79632052
4308069.54448382,2620479.90349084
4018078.36064908,2428816.40385152
5030811.57621791,3378991.37493436
