,src,dest,overlap,distance,total_border,greatest_border,nb_border
0,0,56,0,0.0,202.41357079944075,202.41357079944075,1
1,0,662,0,0.0,1851.487084396713,1851.487084396713,1
2,0,671,0,0.0,571.2388204884513,571.2388204884513,1
3,0,691,0,0.0,441.4607431008398,441.4607431008398,1
0,1,86,0,0.0,6967.211401986482,5415.28841288752,2
1,1,180,0,0.0,6857.059223981847,6857.059223981847,1
2,1,680,0,0.0,3717.9117408732072,3717.9117408732072,1
0,2,132,0,0.0,3896.824760120947,3896.824760120947,1
1,2,133,0,0.0,3946.1925471212617,3946.1925471212617,1
2,2,177,0,0.0,820.7675882600978,820.7675882600978,1
3,2,199,0,0.0,72.73615159587982,72.73615159587982,1
0,3,28,0,0.0,528.0827682025102,528.0827682025102,1
1,3,132,0,0.0,1691.2305701495047,1691.2305701495047,1
2,3,181,0,0.0,2335.82214289029,2335.82214289029,1
0,4,133,0,0.0,2731.6667805191464,2731.6667805191464,1
0,5,132,0,0.0,2223.7747884925734,2223.7747884925734,1
1,5,181,0,0.0,1472.9357945767374,1472.9357945767374,1
0,6,132,0,0.0,1384.2228359476273,1384.2228359476273,1
1,6,133,0,0.0,1965.6979700506847,1965.6979700506847,1
2,6,181,0,0.0,681.8796574977107,681.8796574977107,1
3,6,199,0,0.0,285.5216433478066,285.5216433478066,1
0,7,35,0,0.0,207.28833393171016,207.28833393171016,1
1,7,36,0,0.0,495.1100753196894,495.1100753196894,1
2,7,88,0,0.0,663.2651476446372,663.2651476446372,1
3,7,93,0,0.0,133.56884217549407,133.56884217549407,1
4,7,111,0,0.0,1166.2477730854062,1166.2477730854062,1
5,7,134,0,0.0,3728.740978709296,3728.740978709296,1
6,7,135,0,0.0,327.3481356038226,327.3481356038226,1
7,7,165,0,0.0,3952.9670607025737,3952.9670607025737,1
8,7,166,0,0.0,1032.682634023058,1032.682634023058,1
0,8,37,0,0.0,2395.7974849348625,2395.7974849348625,1
1,8,94,0,0.0,2028.1987133277414,1354.8505946007285,2
2,8,136,0,0.0,2175.1177318067867,2175.1177318067867,1
3,8,137,0,0.0,563.0163414328376,563.0163414328376,1
4,8,142,0,0.0,1029.5904489262487,1029.5904489262487,1
5,8,174,0,0.0,1287.1774664617396,1287.1774664617396,1
6,8,189,0,0.0,1700.2057731922152,1700.2057731922152,1
7,8,680,0,0.0,3442.959520412645,3442.959520412645,1
0,9,117,0,0.0,219.6993548012902,219.6993548012902,1
1,9,189,0,0.0,2600.5294973047,2600.5294973047,1
0,10,39,0,0.0,2474.9378349215312,2474.9378349215312,1
1,10,90,0,0.0,5233.703061421867,5233.703061421867,1
2,10,113,0,0.0,1923.4556418641241,1136.494203781357,2
3,10,138,0,0.0,8698.901585637745,4306.927000380286,4
4,10,158,0,0.0,2815.3621560470306,2815.3621560470306,1
5,10,160,0,0.0,810.2064950182161,810.2064950182161,1
6,10,186,0,0.0,5481.729446327082,5481.729446327082,1
7,10,690,0,0.0,5617.904884400067,5617.904884400067,1
0,11,146,0,0.0,1270.1888966001936,1270.1888966001936,1
1,11,189,0,0.0,1726.5647235401718,1726.5647235401718,1
0,12,44,0,0.0,415.8238810552704,415.8238810552704,1
1,12,119,0,0.0,813.3650568539841,813.3650568539841,1
2,12,145,0,0.0,942.179509827328,942.179509827328,1
3,12,679,0,0.0,196.82221965965397,196.82221965965397,1
0,13,137,0,0.0,530.5413493361116,530.5413493361116,1
1,13,146,0,0.0,2789.0069244891406,2789.0069244891406,1
2,13,189,0,0.0,4144.924094077116,2254.672332020858,2
3,13,680,0,0.0,1319.1171745866409,1319.1171745866409,1
0,14,160,0,0.0,66.79079727104855,66.79079727104855,1
1,14,186,0,0.0,569.8083018474525,569.8083018474525,1
2,14,679,0,0.0,1415.5329366992744,1415.5329366992744,1
3,14,690,0,0.0,932.3706983251483,932.3706983251483,1
0,15,50,0,0.0,1451.5316839585478,1451.5316839585478,1
1,15,72,0,0.0,1429.0808450829552,1429.0808450829552,1
2,15,147,0,0.0,1081.3726761663002,1081.3726761663002,1
3,15,176,0,0.0,660.1101797853715,660.1101797853715,1
4,15,188,0,0.0,573.7599422167265,573.7599422167265,1
5,15,673,0,0.0,1424.8368455917118,1424.8368455917118,1
0,16,54,0,0.0,811.8517742821309,811.8517742821309,1
1,16,679,0,0.0,2491.427665771282,2491.427665771282,1
0,17,690,0,0.0,5335.045505936497,3025.2802926687723,2
0,18,61,0,0.0,2956.775818342035,2956.775818342035,1
1,18,147,0,0.0,110.74976693589923,110.74976693589923,1
2,18,148,0,0.0,691.7124736550679,691.7124736550679,1
3,18,172,0,0.0,1359.1407803386787,1359.1407803386787,1
4,18,176,0,0.0,337.71041752705867,337.71041752705867,1
0,19,63,0,0.0,1436.3456508452643,1436.3456508452643,1
1,19,70,0,0.0,1086.5093774268275,1086.5093774268275,1
0,20,127,0,0.0,373.3079939951056,373.3079939951056,1
1,20,149,0,0.0,432.8045599012939,432.8045599012939,1
2,20,162,0,0.0,0.0,0.0,0
3,20,679,0,0.0,2192.775845699839,2192.775845699839,1
4,20,690,0,0.0,3512.302134073549,3418.4911784228616,2
0,21,73,0,0.0,1273.196975633929,1273.196975633929,1
1,21,679,0,0.0,2279.03577044471,2279.03577044471,1
0,22,70,0,0.0,1129.7768374327738,1129.7768374327738,1
1,22,125,0,0.0,3304.4281444092794,3304.4281444092794,1
2,22,667,0,0.0,496.1488088741872,496.1488088741872,1
3,22,691,0,0.0,4144.594276579428,4144.594276579428,1
0,23,152,0,0.0,1302.1103550428077,1302.1103550428077,1
1,23,173,0,0.0,586.6265573378478,586.6265573378478,1
2,23,191,0,0.0,438.76099908362266,438.76099908362266,1
3,23,192,0,0.0,2962.0216308898284,2962.0216308898284,1
4,23,679,0,0.0,1776.3145397881242,1776.3145397881242,1
0,24,65,0,0.0,1156.3592489682953,1156.3592489682953,1
1,24,662,0,0.0,2236.0241597030827,1166.6488927341827,2
0,25,65,0,0.0,135.02093837593205,135.02093837593205,1
1,25,662,0,0.0,3012.1553279674063,3012.1553279674063,1
0,26,662,0,0.0,3632.5797403294573,3426.782377858638,2
0,27,662,0,0.0,3022.9917996427785,3022.9917996427785,1
0,28,3,0,0.0,528.0827682025102,528.0827682025102,1
1,28,132,0,0.0,466.45196950744366,466.45196950744366,1
2,28,134,0,0.0,2407.746181590811,2407.746181590811,1
3,28,165,0,0.0,1189.8395549342565,1189.8395549342565,1
4,28,178,0,0.0,390.41525288493466,390.41525288493466,1
5,28,181,0,0.0,142.54795719510636,142.54795719510636,1
6,28,662,0,0.0,431.1490980732774,431.1490980732774,1
0,29,180,0,0.0,723.3376414672957,723.3376414672957,1
1,29,661,0,0.0,1179.044881830639,1179.044881830639,1
0,30,110,0,0.0,599.8614192466221,599.8614192466221,1
1,30,154,0,0.0,868.1682372018137,868.1682372018137,1
2,30,661,0,0.0,1310.5536158648947,1310.5536158648947,1
3,30,680,0,0.0,542.5951249218163,542.5951249218163,1
0,31,662,0,0.0,2271.0998838503087,2271.0998838503087,1
0,32,67,0,0.0,2923.9618167624994,2923.9618167624994,1
1,32,203,0,0.0,1670.5159687494956,1670.5159687494956,1
2,32,662,0,0.0,2396.880077179937,1480.6810706689755,2
3,32,691,0,0.0,5368.410257967555,5368.410257967555,1
0,33,92,0,0.0,635.3666182362518,635.3666182362518,1
1,33,109,0,0.0,626.0088973952668,626.0088973952668,1
2,33,661,0,0.0,903.4052113727925,903.4052113727925,1
3,33,691,0,0.0,249.37218050973073,249.37218050973073,1
0,34,66,0,0.0,1794.2986903711776,1794.2986903711776,1
1,34,81,0,0.0,1294.701662669941,1294.701662669941,1
2,34,85,0,0.0,1327.572736462148,1327.572736462148,1
3,34,89,0,0.0,1905.3227960836284,1905.3227960836284,1
4,34,133,0,0.0,2547.7521135177385,2293.3669895259754,2
5,34,181,0,0.0,588.1929150091577,588.1929150091577,1
6,34,662,0,0.0,489.0656524310665,489.0656524310665,1
0,35,7,0,0.0,207.28833393171016,207.28833393171016,1
1,35,111,0,0.0,590.3476750748911,590.3476750748911,1
2,35,134,0,0.0,396.24915468535863,396.24915468535863,1
3,35,167,0,0.0,173.50699265398785,173.50699265398785,1
4,35,662,0,0.0,1463.8091188359062,1463.8091188359062,1
0,36,7,0,0.0,495.1100753196893,495.1100753196893,1
1,36,88,0,0.0,1141.442630594632,1141.442630594632,1
2,36,93,0,0.0,104.8209998050358,104.8209998050358,1
3,36,182,0,0.0,450.19823077932335,450.19823077932335,1
0,37,8,0,0.0,2395.797484934863,2395.797484934863,1
1,37,174,0,0.0,433.63563350169545,433.63563350169545,1
2,37,680,0,0.0,4871.371405271227,4424.547804474827,2
0,38,112,0,0.0,391.637736943411,391.637736943411,1
1,38,139,0,0.0,765.5857006843727,765.5857006843727,1
2,38,141,0,0.0,522.1911103400465,522.1911103400465,1
3,38,168,0,0.0,331.6275310455537,331.6275310455537,1
4,38,662,0,0.0,5189.874847189168,5189.874847189168,1
0,39,10,0,0.0,2474.9378349215312,2474.9378349215312,1
1,39,90,0,0.0,707.6280972210557,707.6280972210557,1
2,39,186,0,0.0,978.5407195705924,978.5407195705924,1
3,39,662,0,0.0,1309.2543100419155,1309.2543100419155,1
0,40,70,0,0.0,132.17227583765367,132.17227583765367,1
1,40,157,0,0.0,1549.738542421778,1549.738542421778,1
2,40,200,0,0.0,450.5273538472493,450.5273538472493,1
3,40,206,0,0.0,251.17966653704764,251.17966653704764,1
4,40,661,0,0.0,2728.5904102267896,2728.5904102267896,1
5,40,691,0,0.0,814.8466860394344,814.8466860394344,1
0,41,72,0,0.0,1768.5915849376702,1768.5915849376702,1
1,41,662,0,0.0,3166.09747965122,3166.09747965122,1
0,42,144,0,0.0,516.9145981311281,516.9145981311281,1
1,42,170,0,0.0,151.56234610687596,151.56234610687596,1
2,42,175,0,0.0,650.2151867127063,650.2151867127063,1
3,42,189,0,0.0,714.8395952883062,714.8395952883062,1
4,42,661,0,0.0,1059.576994802671,1059.576994802671,1
0,43,88,0,0.0,1222.943411537403,1222.943411537403,1
1,43,135,0,0.0,336.1594356246956,336.1594356246956,1
2,43,169,0,0.0,520.3082073165984,520.3082073165984,1
3,43,182,0,0.0,965.1725594612969,965.1725594612969,1
4,43,662,0,0.0,2817.866457798936,2817.866457798936,1
0,44,12,0,0.0,415.8238810552704,415.8238810552704,1
1,44,74,0,0.0,1280.857870198474,1280.857870198474,1
2,44,145,0,0.0,647.2272794799842,647.2272794799842,1
3,44,186,0,0.0,3860.6700729855884,3860.6700729855884,1
4,44,662,0,0.0,1082.557843206745,1082.557843206745,1
5,44,679,0,0.0,468.79016463986176,468.79016463986176,1
0,45,96,0,0.0,2538.7531179247644,2538.7531179247644,1
1,45,159,0,0.0,692.0020601107248,692.0020601107248,1
2,45,183,0,0.0,364.07846131302136,364.07846131302136,1
3,45,185,0,0.0,3135.735151134861,3135.735151134861,1
4,45,679,0,0.0,2007.8410923880476,2007.8410923880476,1
0,46,69,0,0.0,1102.6667571553437,1102.6667571553437,1
1,46,118,0,0.0,691.931948226594,691.931948226594,1
2,46,143,0,0.0,1563.956093320173,1563.956093320173,1
3,46,171,0,0.0,1730.3619906510062,1730.3619906510062,1
4,46,662,0,0.0,2983.639398327568,1883.5127599821167,2
0,47,98,0,0.0,952.0115719665811,952.0115719665811,1
1,47,662,0,0.0,3672.7636466384215,3672.7636466384215,1
0,48,661,0,0.0,1895.8467276712643,1895.8467276712643,1
0,49,119,0,0.0,995.949437396728,995.949437396728,1
1,49,679,0,0.0,4866.9173811612945,4866.9173811612945,1
0,50,15,0,0.0,1451.5316839585478,1451.5316839585478,1
1,50,68,0,0.0,929.5323344167234,929.5323344167234,1
2,50,72,0,0.0,3022.9239129155403,3022.9239129155403,1
3,50,118,0,0.0,380.42617897008535,380.42617897008535,1
4,50,141,0,0.0,1913.01208453512,1913.01208453512,1
5,50,143,0,0.0,2457.003940541345,2457.003940541345,1
6,50,167,0,0.0,528.297515709176,528.297515709176,1
7,50,171,0,0.0,360.6824930747437,360.6824930747437,1
8,50,662,0,0.0,7173.797518214871,3854.6501344272183,3
9,50,673,0,0.0,1420.1004744403222,1420.1004744403222,1
0,51,202,0,0.0,998.6886305097247,998.6886305097247,1
1,51,662,0,0.0,757.4513773659845,757.4513773659845,1
2,51,691,0,0.0,929.1133971707632,929.1133971707632,1
0,52,70,0,0.0,714.5593306460918,714.5593306460918,1
1,52,121,0,0.0,548.4140232544545,548.4140232544545,1
2,52,661,0,0.0,1043.912596197446,1043.912596197446,1
0,53,70,0,0.0,1589.9146300950847,1589.9146300950847,1
1,53,121,0,0.0,1485.1761596551528,1485.1761596551528,1
2,53,661,0,0.0,1214.9332518208876,1214.9332518208876,1
0,54,16,0,0.0,811.851774282131,811.851774282131,1
1,54,679,0,0.0,2491.117475928965,2491.117475928965,1
0,55,662,0,0.0,3852.194549981388,3852.194549981388,1
0,56,0,0,0.0,202.41357079944075,202.41357079944075,1
1,56,662,0,0.0,2879.0060593846993,2879.0060593846993,1
2,56,691,0,0.0,1378.9944304050807,1378.9944304050807,1
0,57,173,0,0.0,65.35495090842636,65.35495090842636,1
1,57,207,0,0.0,1045.1637010885452,1045.1637010885452,1
2,57,679,0,0.0,2921.1394859109105,2288.532464249515,2
0,58,662,0,0.0,2297.039971672322,2297.039971672322,1
1,58,673,0,0.0,1671.8589338906559,1671.8589338906559,1
0,59,150,0,0.0,580.1424614170991,580.1424614170991,1
1,59,151,0,0.0,1847.328473643333,1847.328473643333,1
2,59,153,0,0.0,1677.2625534763838,1677.2625534763838,1
3,59,161,0,0.0,1808.7910038140917,1808.7910038140917,1
4,59,189,0,0.0,2290.193423922291,2290.193423922291,1
5,59,661,0,0.0,3591.2895516265817,2785.865601594554,2
0,60,662,0,0.0,2456.4256710197683,2456.4256710197683,1
0,61,18,0,0.0,2956.775818342035,2956.775818342035,1
1,61,72,0,0.0,3444.4342830824785,3444.4342830824785,1
2,61,100,0,0.0,2229.7680010331096,2229.7680010331096,1
3,61,101,0,0.0,899.138845202757,899.138845202757,1
4,61,147,0,0.0,2011.4406969691038,2011.4406969691038,1
5,61,172,0,0.0,522.1884946292764,522.1884946292764,1
6,61,662,0,0.0,5130.793377503494,2807.324231486602,3
7,61,673,0,0.0,2427.031432289866,2427.031432289866,1
0,62,209,0,0.0,643.6685026140173,643.6685026140173,1
1,62,661,0,0.0,1617.514276389899,1617.514276389899,1
0,63,19,0,0.0,1436.3456508452641,1436.3456508452641,1
1,63,70,0,0.0,6267.481446525169,5193.615517896676,2
2,63,99,0,0.0,1291.5153340346358,1291.5153340346358,1
3,63,102,0,0.0,793.0179973676168,687.464802247698,2
4,63,123,0,0.0,3757.362000245806,3757.362000245806,1
5,63,126,0,0.0,2281.3737705758954,2281.3737705758954,1
6,63,661,0,0.0,12196.671570090788,7232.712120052709,3
0,64,129,0,0.0,394.5022129878247,394.5022129878247,1
1,64,153,0,0.0,315.48794953068375,315.48794953068375,1
2,64,661,0,0.0,1607.7040679037736,1255.1591426580053,2
3,64,685,0,0.0,287.073460981858,287.073460981858,1
0,65,24,0,0.0,1156.3592489682953,1156.3592489682953,1
1,65,25,0,0.0,135.02093837593205,135.02093837593205,1
