,zone,src,dest,distance
0,zone-21,69098,69110,4.779658025121916
0,zone-21,69110,69098,4.779658025121916
0,zone-21,73173,75837,1.1781113915454196
0,zone-21,75806,77407,4.747340170615541
0,zone-21,75837,73173,1.1781113915454196
0,zone-21,77407,75806,4.747340170615541
0,zone-22,22716,26180,3.331593472595302
0,zone-22,26180,22716,3.331593472595302
0,zone-32,1588956,1609613,8.98477291756527
1,zone-32,1588956,1613222,9.285392590649522
0,zone-32,1596997,1602583,2.8777469551320194
0,zone-32,1602583,1596997,2.8777469551320194
0,zone-32,1609613,1588956,8.98477291756527
0,zone-32,1613222,1588956,9.285392590649522
0,zone-51,1211270,1242283,6.308930035189224
0,zone-51,1242283,1211270,6.308930035189224
0,zone-52,1353600,1391144,6.962464156397947
0,zone-52,1372364,1391211,7.978515295150088
0,zone-52,1391144,1353600,6.962464156397947
0,zone-52,1391211,1372364,7.978515295150088
0,zone-61,682674,700858,1.800361076286721
0,zone-61,682699,712478,9.445878791161368
0,zone-61,692457,692474,3.090404504335996
0,zone-61,692474,692457,3.090404504335996
0,zone-61,700668,707359,9.737171047226344
0,zone-61,700858,682674,1.800361076286721
0,zone-61,707359,700668,9.737171047226344
0,zone-61,712478,682699,9.445878791161368
0,zone-61,723670,2366361,4.80160389987239
0,zone-61,1418287,1420259,1.8190906661843351
0,zone-61,1420259,1418287,1.8190906661843351
0,zone-61,2366361,723670,4.80160389987239
0,zones-71,1443954,1447426,1.9962375172635067
0,zones-71,1447426,1443954,1.9962375172635067
0,zone-11,547381,548579,1.7240939655616694
0,zone-11,548579,547381,1.7240939655616694
